codigo,l1,l2,l3,l4,l5,l6,l7,l8,l9,l10,l11,l12,l13,l14,e1,e2
20230001,19,17,5,5,5,16,19,0,13,2,18,16,6,16,20,9
20230002,14,5,12,7,6,20,12,15,10,13,9,19,2,18,7,12
20230003,19,11,12,9,3,20,12,14,19,17,19,18,3,13,18,9
20230004,12,1,14,0,6,19,4,15,19,15,20,13,2,20,7,15
20230005,0,0,13,11,12,14,0,4,18,5,18,10,14,15,17,16
20230006,4,14,18,6,6,2,6,2,15,11,16,4,8,16,5,3
20230007,13,8,15,18,0,11,4,8,7,8,10,7,17,4,0,3
20230008,11,0,7,3,12,6,5,20,7,1,8,9,15,15,10,16
20230009,13,18,1,7,7,12,15,3,17,12,3,7,18,19,6,6
20230010,7,7,4,3,17,15,12,10,0,1,0,10,19,5,19,6
20230011,2,12,4,19,13,13,2,9,2,16,20,9,0,3,7,3
20230012,1,0,2,16,20,11,18,15,18,5,19,7,5,8,17,1
20230013,17,10,3,10,5,4,19,15,4,15,15,9,6,20,4,5
20230014,3,17,20,15,11,2,10,7,7,17,3,11,0,2,11,6
20230015,15,7,8,6,14,9,1,12,17,19,7,0,4,3,17,15
20230016,10,16,13,12,20,6,4,5,9,10,13,20,11,14,17,7
20230017,5,0,13,20,11,7,11,0,8,2,20,3,6,10,20,19
20230018,18,4,4,19,3,3,11,8,8,11,0,10,19,11,5,11
20230019,1,18,4,13,3,14,10,1,6,11,4,4,11,20,6,7
20230020,18,14,4,16,9,20,11,16,17,4,9,6,8,17,4,8
20230021,1,4,11,15,16,4,16,9,16,6,7,8,12,11,13,20
20230022,18,16,10,12,14,16,9,11,2,20,18,16,5,0,15,7
20230023,0,5,20,7,14,1,0,3,2,8,5,5,5,2,10,6
20230024,8,16,19,17,14,1,0,4,3,9,13,6,10,3,18,19
20230025,0,15,16,10,6,18,9,20,16,4,18,7,12,17,4,8
20230026,19,17,14,4,10,12,8,6,18,18,10,7,12,4,17,7
20230027,14,13,18,10,4,13,19,8,3,16,4,11,8,9,20,19
20230028,1,18,9,12,19,10,15,10,12,20,0,4,9,1,19,10
20230029,18,4,3,8,1,7,14,6,11,12,16,9,18,10,2,10
20230030,10,20,0,14,3,3,3,6,7,16,1,3,7,20,7,19
20230031,5,7,14,8,2,7,10,20,11,18,11,2,18,11,15,4
20230032,1,19,19,16,8,12,19,15,0,1,0,0,19,5,11,19
20230033,14,19,0,2,15,3,10,9,2,4,15,2,13,1,4,16
20230034,5,0,14,11,2,18,7,4,2,13,8,5,9,13,16,8
20230035,14,8,18,14,6,4,16,12,3,17,14,3,9,8,2,16
20230036,5,14,12,17,19,20,4,1,8,20,19,4,1,9,19,7
20230037,0,20,4,12,7,0,1,12,8,9,16,20,15,2,5,3
20230038,20,3,4,8,10,15,9,19,18,15,18,8,0,10,7,9
20230039,18,0,20,4,12,3,10,1,15,14,17,1,14,4,20,9
20230040,15,1,4,1,10,8,17,0,20,18,7,12,13,15,1,1
20230041,12,16,18,1,16,12,4,12,17,2,6,15,3,11,3,7
20230042,0,1,15,7,7,17,11,20,1,15,0,4,5,0,3,19
20230043,19,20,3,11,4,5,4,18,11,5,19,3,18,10,4,11
20230044,8,3,8,19,15,1,2,14,7,3,0,4,1,3,0,3
20230045,7,14,6,8,2,18,6,3,16,8,13,19,5,17,6,2
20230046,9,5,9,18,0,15,0,0,18,9,15,15,10,12,9,14
20230047,11,4,8,7,11,9,5,1,7,0,20,0,6,19,2,5
20230048,19,16,4,13,17,4,20,14,12,12,12,18,10,6,0,2
20230049,7,2,3,14,3,19,14,4,18,3,0,1,13,3,16,16
20230050,17,19,3,13,6,16,6,11,20,15,10,17,17,8,14,17
20230051,14,7,11,17,17,3,11,6,13,11,5,20,3,15,12,10
20230052,15,3,1,17,17,13,9,9,15,11,2,12,12,5,20,17
20230053,13,14,1,0,11,5,16,11,2,2,6,0,17,15,13,13
20230054,17,18,17,11,5,16,19,10,19,0,8,4,9,3,1,5
20230055,7,5,5,17,12,3,0,15,12,12,6,14,10,19,4,20
20230056,17,8,3,15,6,15,3,18,17,12,15,1,17,17,8,5
20230057,16,14,4,0,3,10,4,11,5,4,4,12,19,2,5,13
20230058,8,15,8,4,15,8,5,16,13,15,19,14,20,11,12,9
20230059,13,11,16,10,10,18,20,20,6,3,3,1,9,16,4,19
20230060,5,13,18,11,5,4,4,12,12,5,15,19,16,20,10,18
20230061,8,17,1,3,1,6,0,14,3,1,8,20,5,10,1,19
20230062,18,17,10,1,18,14,7,16,13,18,20,14,19,7,15,14
20230063,12,0,8,20,13,11,12,4,19,0,11,6,18,12,15,8
20230064,11,16,3,18,5,9,20,16,11,11,11,4,11,0,1,10
20230065,15,18,12,9,14,6,17,19,14,13,18,10,14,6,7,12
20230066,16,7,16,13,12,1,10,9,20,1,8,7,4,0,8,15
20230067,10,19,10,12,1,17,1,13,10,12,20,13,20,4,14,18
20230068,2,15,1,6,8,18,17,4,17,14,14,1,13,17,1,11
20230069,16,5,4,4,9,4,6,18,11,0,7,5,17,15,12,10
20230070,8,4,20,15,8,3,1,5,13,12,20,19,8,15,1,11
20230071,14,14,16,1,16,15,14,5,3,5,17,1,17,15,9,20
20230072,18,6,5,11,8,12,16,16,11,13,13,0,8,7,6,13
20230073,12,5,19,15,8,0,10,5,5,1,6,5,14,5,2,13
20230074,17,17,9,14,16,1,14,9,9,5,14,4,2,13,13,9
20230075,5,2,7,6,17,11,7,2,4,1,9,8,17,20,16,7
20230076,8,16,15,6,19,6,14,4,6,3,7,19,18,17,1,13
20230077,20,7,13,0,6,8,20,16,7,8,20,4,8,8,16,0
20230078,7,17,7,0,15,7,20,3,0,14,14,12,16,2,8,0
20230079,20,0,1,15,19,19,0,5,18,2,15,7,10,4,0,1
20230080,17,10,6,6,5,4,19,6,0,5,20,8,12,10,8,19
20230081,10,4,16,14,20,17,19,0,15,9,12,20,2,12,15,20
20230082,4,13,4,18,5,5,2,2,10,6,7,1,12,6,17,2
20230083,1,4,7,14,5,5,16,5,0,3,4,16,3,16,9,7
20230084,8,12,9,2,17,13,17,14,4,14,5,2,14,17,10,14
20230085,8,3,5,5,17,10,19,3,14,4,12,7,3,3,11,11
20230086,20,1,10,10,6,7,1,17,2,18,14,9,16,8,14,11
20230087,15,10,8,14,2,11,20,0,18,5,13,15,1,17,4,0
20230088,14,15,12,19,12,1,20,19,20,8,7,18,8,9,9,2
20230089,1,15,4,20,6,12,19,4,11,12,1,8,17,7,0,1
20230090,8,6,8,7,14,6,15,12,18,15,2,16,19,5,0,6
20230091,14,10,20,16,8,3,14,5,8,1,15,0,13,16,9,16
20230092,13,19,16,0,5,15,9,8,16,16,20,19,5,10,12,18
20230093,4,9,0,11,13,2,11,18,3,3,7,13,15,6,13,6
20230094,16,5,11,17,4,19,20,14,2,16,5,17,9,12,17,19
20230095,12,14,10,17,9,18,16,0,19,19,15,8,6,18,1,11
20230096,19,17,13,9,6,16,15,7,4,17,0,15,2,17,20,5
20230097,11,18,7,15,5,12,10,1,10,3,7,13,20,1,5,3
20230098,3,12,11,6,10,10,17,8,17,10,3,11,19,0,16,5
20230099,5,1,8,12,6,5,5,2,5,0,14,4,0,9,1,17
20230100,2,7,5,19,13,7,17,11,14,15,16,14,13,18,20,19
20230101,4,14,14,14,7,3,2,7,11,16,6,4,13,4,11,16
20230102,8,11,16,2,9,12,8,19,2,4,2,11,17,14,19,16
20230103,17,10,2,2,18,14,8,18,1,6,2,4,11,8,3,1
20230104,2,20,17,7,13,5,20,12,12,17,8,1,3,13,8,15
20230105,6,0,15,10,8,20,12,9,9,5,10,16,10,1,19,14
20230106,13,1,8,11,10,8,10,18,18,2,0,6,15,4,7,9
20230107,18,2,1,2,19,19,5,14,18,6,6,1,3,12,15,20
20230108,18,6,5,2,20,10,3,8,3,7,12,9,15,13,1,6
20230109,16,6,12,9,19,17,4,1,19,1,5,19,3,5,8,19
20230110,3,2,12,3,3,1,12,11,18,10,11,7,10,14,19,14
20230111,18,18,18,20,17,14,17,14,18,6,0,4,14,6,2,17
20230112,7,15,19,3,12,20,15,3,3,18,9,19,13,8,7,10
20230113,2,20,9,0,0,10,1,0,7,7,2,0,6,5,1,19
20230114,1,13,15,4,14,13,19,10,15,18,19,20,1,20,8,16
20230115,1,18,17,20,6,10,7,3,19,6,16,9,3,2,3,0
20230116,8,11,8,10,18,0,15,12,8,3,9,11,19,14,12,8
20230117,11,12,4,11,14,2,10,6,13,18,18,10,10,9,14,16
20230118,11,6,17,5,19,8,8,2,10,5,2,6,0,13,7,18
20230119,8,8,0,15,13,18,6,4,15,12,5,5,8,5,8,6
20230120,15,19,3,0,13,19,6,11,16,4,11,7,13,0,3,6
20230121,10,10,15,7,11,0,17,8,4,10,18,12,9,20,6,16
20230122,1,7,13,7,4,7,15,18,12,5,14,5,12,12,3,2
20230123,20,9,15,15,18,0,10,8,16,15,4,2,1,12,3,11
20230124,7,9,7,0,7,3,14,2,6,14,0,11,17,11,13,8
20230125,17,11,17,10,14,11,14,12,10,2,18,12,2,5,19,3
20230126,5,7,2,9,18,3,0,18,19,7,18,16,13,4,8,2
20230127,4,10,3,13,1,4,7,19,18,6,5,0,0,5,17,12
20230128,15,19,16,11,13,19,6,7,9,8,15,2,0,13,0,7
20230129,3,10,3,0,7,3,16,15,15,4,10,13,4,2,13,5
20230130,15,0,17,3,6,10,14,2,9,20,15,9,8,18,20,9
20230131,5,1,13,10,13,7,20,15,7,9,17,3,20,18,10,13
20230132,16,13,2,12,18,10,18,1,2,1,18,14,9,14,5,18
20230133,15,18,15,20,9,0,3,15,20,6,10,0,20,17,20,19
20230134,0,10,20,19,17,13,7,19,10,6,19,16,9,0,1,13
20230135,15,13,12,2,2,13,7,17,1,16,3,8,9,12,17,19
