CMDLINE python mp_example3.py
MEM 1.742188 1701299756.9183
MEM 17.367188 1701299757.0208
MEM 17.367188 1701299757.1215
MEM 17.367188 1701299757.2220
MEM 17.367188 1701299757.3315
MEM 17.367188 1701299757.4320
MEM 17.367188 1701299757.5332
MEM 17.367188 1701299757.6339
MEM 17.367188 1701299757.7344
MEM 17.367188 1701299757.8353
MEM 17.367188 1701299757.9360
MEM 17.367188 1701299758.0373
MEM 17.367188 1701299758.1383
MEM 17.367188 1701299758.2392
MEM 17.367188 1701299758.3400
MEM 17.367188 1701299758.4405
MEM 17.367188 1701299758.5412
MEM 17.367188 1701299758.6420
MEM 17.367188 1701299758.7426
MEM 17.367188 1701299758.8435
MEM 17.367188 1701299758.9440
MEM 17.367188 1701299759.0446
MEM 17.367188 1701299759.1451
MEM 17.367188 1701299759.2463
MEM 17.367188 1701299759.3472
MEM 17.367188 1701299759.4480
MEM 17.367188 1701299759.5486
MEM 17.367188 1701299759.6491
MEM 17.367188 1701299759.7496
MEM 17.367188 1701299759.8500
MEM 17.367188 1701299759.9507
MEM 17.367188 1701299760.0515
MEM 17.367188 1701299760.1519
MEM 17.367188 1701299760.2526
MEM 17.367188 1701299760.3532
MEM 17.367188 1701299760.4537
MEM 17.367188 1701299760.5546
MEM 17.367188 1701299760.6552
MEM 17.367188 1701299760.7557
MEM 17.367188 1701299760.8563
MEM 17.367188 1701299760.9575
MEM 17.367188 1701299761.0581
MEM 17.367188 1701299761.1587
MEM 17.367188 1701299761.2591
MEM 17.367188 1701299761.3596
MEM 17.367188 1701299761.4600
MEM 17.367188 1701299761.5608
MEM 17.367188 1701299761.6617
MEM 17.367188 1701299761.7622
MEM 17.367188 1701299761.8626
MEM 17.367188 1701299761.9632
MEM 24.996094 1701299762.0637
MEM 24.996094 1701299762.1649
MEM 24.996094 1701299762.2657
MEM 24.996094 1701299762.3662
MEM 24.996094 1701299762.4666
MEM 24.996094 1701299762.5690
MEM 24.996094 1701299762.6698
MEM 24.996094 1701299762.7702
MEM 24.996094 1701299762.8707
MEM 24.996094 1701299762.9714
MEM 24.996094 1701299763.0722
MEM 24.996094 1701299763.1728
MEM 24.996094 1701299763.2737
MEM 24.996094 1701299763.3746
MEM 24.996094 1701299763.4755
MEM 24.996094 1701299763.5762
MEM 24.996094 1701299763.6769
MEM 24.996094 1701299763.7773
MEM 24.996094 1701299763.8778
MEM 24.996094 1701299763.9786
MEM 24.996094 1701299764.0792
MEM 24.996094 1701299764.1797
MEM 24.996094 1701299764.2803
MEM 24.996094 1701299764.3810
MEM 24.996094 1701299764.4814
MEM 24.996094 1701299764.5818
MEM 24.996094 1701299764.6826
MEM 24.996094 1701299764.7831
MEM 24.996094 1701299764.8842
MEM 24.996094 1701299764.9849
MEM 24.996094 1701299765.0862
MEM 24.996094 1701299765.1866
MEM 24.996094 1701299765.2871
MEM 24.996094 1701299765.3876
MEM 24.996094 1701299765.4884
MEM 24.996094 1701299765.5896
MEM 24.996094 1701299765.6906
MEM 24.996094 1701299765.7913
MEM 24.996094 1701299765.8918
MEM 24.996094 1701299765.9923
MEM 24.996094 1701299766.0931
MEM 24.996094 1701299766.1935
MEM 24.996094 1701299766.2946
MEM 24.996094 1701299766.3952
MEM 24.996094 1701299766.4957
MEM 24.996094 1701299766.5966
MEM 24.996094 1701299766.6972
MEM 24.996094 1701299766.7979
MEM 24.996094 1701299766.8988
MEM 24.996094 1701299766.9994
MEM 32.625000 1701299767.1005
MEM 32.625000 1701299767.2011
MEM 32.625000 1701299767.3020
MEM 32.625000 1701299767.4025
MEM 32.625000 1701299767.5030
MEM 32.625000 1701299767.6036
MEM 32.625000 1701299767.7041
MEM 32.625000 1701299767.8052
MEM 32.625000 1701299767.9063
MEM 32.625000 1701299768.0073
MEM 32.625000 1701299768.1079
MEM 32.625000 1701299768.2086
MEM 32.625000 1701299768.3090
MEM 32.625000 1701299768.4094
MEM 32.625000 1701299768.5105
MEM 32.625000 1701299768.6110
MEM 32.625000 1701299768.7115
MEM 32.625000 1701299768.8126
MEM 32.625000 1701299768.9136
MEM 32.625000 1701299769.0144
MEM 32.625000 1701299769.1153
MEM 32.625000 1701299769.2160
MEM 32.625000 1701299769.3166
MEM 32.625000 1701299769.4173
MEM 32.625000 1701299769.5179
MEM 32.625000 1701299769.6190
MEM 32.625000 1701299769.7195
MEM 32.625000 1701299769.8201
MEM 32.625000 1701299769.9208
MEM 32.625000 1701299770.0214
MEM 32.625000 1701299770.1221
MEM 32.625000 1701299770.2228
MEM 32.625000 1701299770.3233
MEM 32.625000 1701299770.4238
MEM 32.625000 1701299770.5243
MEM 32.625000 1701299770.6247
MEM 32.625000 1701299770.7253
MEM 32.625000 1701299770.8263
MEM 32.625000 1701299770.9269
MEM 32.625000 1701299771.0273
MEM 32.625000 1701299771.1279
MEM 32.625000 1701299771.2284
MEM 32.625000 1701299771.3289
MEM 32.625000 1701299771.4296
MEM 32.625000 1701299771.5301
MEM 32.625000 1701299771.6307
MEM 32.625000 1701299771.7312
MEM 32.625000 1701299771.8317
MEM 32.625000 1701299771.9325
MEM 56.714844 1701299772.0337
MEM 40.253906 1701299772.1348
MEM 40.253906 1701299772.2355
MEM 40.253906 1701299772.3369
MEM 40.253906 1701299772.4377
MEM 40.253906 1701299772.5385
MEM 40.253906 1701299772.6394
MEM 40.253906 1701299772.7401
MEM 40.253906 1701299772.8405
MEM 40.253906 1701299772.9412
MEM 40.253906 1701299773.0420
MEM 40.253906 1701299773.1425
MEM 40.253906 1701299773.2433
MEM 40.253906 1701299773.3438
MEM 40.253906 1701299773.4442
MEM 40.253906 1701299773.5451
MEM 40.253906 1701299773.6460
MEM 40.253906 1701299773.7470
MEM 40.253906 1701299773.8476
MEM 40.253906 1701299773.9480
MEM 40.253906 1701299774.0486
MEM 40.253906 1701299774.1491
MEM 40.253906 1701299774.2495
MEM 40.253906 1701299774.3500
MEM 40.253906 1701299774.4506
MEM 40.253906 1701299774.5513
MEM 40.253906 1701299774.6524
MEM 40.253906 1701299774.7530
MEM 40.253906 1701299774.8535
MEM 40.253906 1701299774.9542
MEM 40.253906 1701299775.0551
MEM 40.253906 1701299775.1559
MEM 40.253906 1701299775.2563
MEM 40.253906 1701299775.3567
MEM 40.253906 1701299775.4571
MEM 40.253906 1701299775.5578
MEM 40.253906 1701299775.6584
MEM 40.253906 1701299775.7591
MEM 40.253906 1701299775.8596
MEM 40.253906 1701299775.9602
MEM 40.253906 1701299776.0613
MEM 40.253906 1701299776.1617
MEM 40.253906 1701299776.2623
MEM 40.253906 1701299776.3631
MEM 40.253906 1701299776.4636
MEM 40.253906 1701299776.5644
MEM 40.253906 1701299776.6648
MEM 40.253906 1701299776.7653
MEM 40.253906 1701299776.8662
MEM 40.253906 1701299776.9670
MEM 57.476562 1701299777.0681
MEM 47.882812 1701299777.1694
MEM 47.882812 1701299777.2701
MEM 47.882812 1701299777.3711
MEM 47.882812 1701299777.4720
MEM 47.882812 1701299777.5726
MEM 47.882812 1701299777.6733
MEM 47.882812 1701299777.7741
MEM 47.882812 1701299777.8744
MEM 47.882812 1701299777.9750
MEM 47.882812 1701299778.0758
MEM 47.882812 1701299778.1764
MEM 47.882812 1701299778.2767
MEM 47.882812 1701299778.3774
MEM 47.882812 1701299778.4778
