CMDLINE C:\Users\Isaac\AppData\Local\Programs\Python\Python311\python.exe mp_example4.py
MEM 1.707031 1701300485.1236
MEM 15.000000 1701300485.2347
MEM 21.226562 1701300485.3493
MEM 29.105469 1701300485.4597
MEM 29.871094 1701300485.5705
CHLD 25116 12.925781 1701300485.5815
CHLD 25496 12.156250 1701300485.5815
CHLD 24892 11.683594 1701300485.5815
MEM 29.871094 1701300485.6822
CHLD 25116 19.687500 1701300485.6937
CHLD 25496 19.050781 1701300485.6937
CHLD 24892 18.816406 1701300485.6937
MEM 29.871094 1701300485.7955
CHLD 25116 24.425781 1701300485.8060
CHLD 25496 23.128906 1701300485.8060
CHLD 24892 22.859375 1701300485.8060
MEM 29.871094 1701300485.9094
CHLD 25116 29.503906 1701300485.9235
CHLD 25496 29.593750 1701300485.9235
CHLD 24892 29.578125 1701300485.9235
MEM 29.871094 1701300486.0239
CHLD 25116 29.503906 1701300486.0361
CHLD 25496 29.593750 1701300486.0361
CHLD 24892 29.578125 1701300486.0361
MEM 29.871094 1701300486.1404
CHLD 25116 29.503906 1701300486.1538
CHLD 25496 29.593750 1701300486.1538
CHLD 24892 29.578125 1701300486.1538
MEM 29.871094 1701300486.2572
CHLD 25116 29.503906 1701300486.2713
CHLD 25496 29.593750 1701300486.2713
CHLD 24892 29.578125 1701300486.2713
MEM 29.871094 1701300486.3729
CHLD 25116 29.503906 1701300486.3866
CHLD 25496 29.593750 1701300486.3866
CHLD 24892 29.578125 1701300486.3866
MEM 29.871094 1701300486.4891
CHLD 25116 29.503906 1701300486.5052
CHLD 25496 29.593750 1701300486.5052
CHLD 24892 29.578125 1701300486.5052
MEM 29.871094 1701300486.6090
CHLD 25116 29.503906 1701300486.6253
CHLD 25496 29.593750 1701300486.6253
CHLD 24892 29.578125 1701300486.6260
MEM 29.871094 1701300486.7267
CHLD 25116 29.503906 1701300486.7413
CHLD 25496 29.593750 1701300486.7413
CHLD 24892 29.578125 1701300486.7413
MEM 29.871094 1701300486.8425
CHLD 25116 29.503906 1701300486.8507
CHLD 25496 29.593750 1701300486.8507
CHLD 24892 29.578125 1701300486.8507
MEM 29.882812 1701300486.9581
CHLD 25116 29.664062 1701300486.9697
CHLD 25496 29.593750 1701300486.9697
CHLD 24892 29.578125 1701300486.9697
MEM 29.882812 1701300487.0737
CHLD 25116 29.664062 1701300487.0864
CHLD 25496 29.593750 1701300487.0864
CHLD 24892 29.578125 1701300487.0864
MEM 29.882812 1701300487.1905
CHLD 25116 29.664062 1701300487.2050
CHLD 25496 29.593750 1701300487.2050
CHLD 24892 29.578125 1701300487.2050
MEM 29.882812 1701300487.3079
CHLD 25116 29.664062 1701300487.3220
CHLD 25496 29.593750 1701300487.3220
CHLD 24892 29.578125 1701300487.3220
MEM 29.882812 1701300487.4243
CHLD 25116 29.664062 1701300487.4404
CHLD 25496 29.593750 1701300487.4404
CHLD 24892 29.578125 1701300487.4404
MEM 29.882812 1701300487.5418
CHLD 25116 29.664062 1701300487.5556
CHLD 25496 29.593750 1701300487.5556
CHLD 24892 29.578125 1701300487.5556
MEM 29.882812 1701300487.6589
CHLD 25116 29.664062 1701300487.6720
CHLD 25496 29.593750 1701300487.6720
CHLD 24892 29.578125 1701300487.6720
MEM 29.882812 1701300487.7756
CHLD 25116 29.664062 1701300487.7878
CHLD 25496 29.593750 1701300487.7878
CHLD 24892 29.578125 1701300487.7878
MEM 29.882812 1701300487.8916
CHLD 25116 29.664062 1701300487.9012
CHLD 25496 32.328125 1701300487.9051
CHLD 24892 29.578125 1701300487.9051
MEM 29.882812 1701300488.0053
CHLD 25116 29.664062 1701300488.0115
CHLD 25496 29.750000 1701300488.0115
CHLD 24892 29.578125 1701300488.0115
MEM 29.882812 1701300488.1149
CHLD 25116 29.664062 1701300488.1244
CHLD 25496 29.750000 1701300488.1244
CHLD 24892 29.578125 1701300488.1244
MEM 29.882812 1701300488.2259
CHLD 25116 29.664062 1701300488.2330
CHLD 25496 29.750000 1701300488.2330
CHLD 24892 29.578125 1701300488.2330
MEM 29.882812 1701300488.3343
CHLD 25116 29.664062 1701300488.3486
CHLD 25496 29.750000 1701300488.3486
CHLD 24892 29.578125 1701300488.3486
MEM 29.882812 1701300488.4491
CHLD 25116 29.664062 1701300488.4612
CHLD 25496 29.750000 1701300488.4612
CHLD 24892 29.578125 1701300488.4612
MEM 29.882812 1701300488.5646
CHLD 25116 29.664062 1701300488.5818
CHLD 25496 29.750000 1701300488.5818
CHLD 24892 29.578125 1701300488.5818
MEM 29.882812 1701300488.6829
CHLD 25116 29.664062 1701300488.6970
CHLD 25496 29.750000 1701300488.6970
CHLD 24892 29.578125 1701300488.6970
MEM 29.882812 1701300488.7977
CHLD 25116 29.664062 1701300488.8134
CHLD 25496 29.750000 1701300488.8134
CHLD 24892 29.578125 1701300488.8134
MEM 29.882812 1701300488.9148
CHLD 25116 29.664062 1701300488.9305
CHLD 25496 29.750000 1701300488.9305
CHLD 24892 29.578125 1701300488.9305
MEM 29.882812 1701300489.0317
CHLD 25116 29.664062 1701300489.0440
CHLD 25496 29.750000 1701300489.0440
CHLD 24892 29.578125 1701300489.0440
MEM 29.882812 1701300489.1485
CHLD 25116 29.664062 1701300489.1629
CHLD 25496 29.750000 1701300489.1629
CHLD 24892 29.578125 1701300489.1629
MEM 29.882812 1701300489.2656
CHLD 25116 29.664062 1701300489.2792
CHLD 25496 29.750000 1701300489.2792
CHLD 24892 29.578125 1701300489.2792
MEM 29.882812 1701300489.3819
CHLD 25116 29.664062 1701300489.3961
CHLD 25496 29.750000 1701300489.3961
CHLD 24892 29.578125 1701300489.3961
MEM 29.882812 1701300489.4981
CHLD 25116 29.664062 1701300489.5127
CHLD 25496 29.750000 1701300489.5127
CHLD 24892 29.578125 1701300489.5127
MEM 29.882812 1701300489.6151
CHLD 25116 29.664062 1701300489.6296
CHLD 25496 29.750000 1701300489.6296
CHLD 24892 29.578125 1701300489.6296
MEM 29.882812 1701300489.7317
CHLD 25116 29.664062 1701300489.7478
CHLD 25496 29.750000 1701300489.7478
CHLD 24892 29.578125 1701300489.7478
MEM 29.882812 1701300489.8482
CHLD 25116 29.664062 1701300489.8605
CHLD 25496 29.750000 1701300489.8605
CHLD 24892 29.578125 1701300489.8605
MEM 29.882812 1701300489.9646
CHLD 25116 29.664062 1701300489.9801
CHLD 25496 29.750000 1701300489.9801
CHLD 24892 29.578125 1701300489.9801
MEM 29.882812 1701300490.0807
CHLD 25116 29.664062 1701300490.0958
CHLD 25496 29.750000 1701300490.0967
CHLD 24892 29.578125 1701300490.0967
MEM 29.882812 1701300490.1970
CHLD 25116 29.664062 1701300490.2090
CHLD 25496 29.750000 1701300490.2090
CHLD 24892 29.578125 1701300490.2090
MEM 29.882812 1701300490.3131
CHLD 25116 29.664062 1701300490.3280
CHLD 25496 29.750000 1701300490.3280
CHLD 24892 29.578125 1701300490.3280
MEM 29.882812 1701300490.4300
CHLD 25116 29.664062 1701300490.4452
CHLD 25496 29.750000 1701300490.4452
CHLD 24892 29.578125 1701300490.4452
MEM 29.882812 1701300490.5464
CHLD 25116 29.664062 1701300490.5585
CHLD 25496 29.750000 1701300490.5585
CHLD 24892 29.578125 1701300490.5625
MEM 29.882812 1701300490.6629
CHLD 25116 29.664062 1701300490.6752
CHLD 25496 29.750000 1701300490.6752
CHLD 24892 29.578125 1701300490.6752
MEM 29.882812 1701300490.7795
CHLD 25116 29.664062 1701300490.7958
CHLD 25496 29.750000 1701300490.7958
CHLD 24892 29.578125 1701300490.7958
MEM 29.882812 1701300490.8967
CHLD 25116 29.664062 1701300490.9070
CHLD 25496 29.750000 1701300490.9070
CHLD 24892 32.535156 1701300490.9070
